Date,At&t,Xom,BA,Wmt,Wix
2/27/2017,41.82,81.540001,179.429993,71.739998,64.050003
2/28/2017,41.790001,81.32,180.229996,70.93,62.299999
3/1/2017,42.040001,83.019997,183.910004,70.449997,62.75
3/2/2017,42.07,83.300003,182.990005,70.760002,62.099998
3/3/2017,42.009998,82.459999,182.179993,70.029999,61.400002
3/6/2017,41.959999,82.830002,180.929993,69.879997,62.25
3/7/2017,41.880001,82.519997,182.020004,69.870003,63.849998
3/8/2017,41.77,81.029999,181.740005,69.800003,63.5
3/9/2017,41.939999,81.669998,180.570007,69.860001,64.300003
3/10/2017,42.349998,81.610001,178.699997,70.099998,65.900002
3/13/2017,42.369999,81.419998,179.050003,69.949997,68.099998
3/14/2017,42.09,80.989998,178.729996,70.720001,69.25
3/15/2017,42.59,82,178.710007,70.580002,68.5
3/16/2017,42.439999,82.07,178.190002,70.440002,68.800003
3/17/2017,42.610001,82,180.100006,69.889999,68.599998
3/20/2017,42.419998,82,179.389999,69.980003,68.949997
3/21/2017,42.080002,81.830002,175.960007,69.900002,67.099998
3/22/2017,41.650002,81.760002,176.979996,70.25,67.150002
3/23/2017,41.650002,81.860001,177.259995,69.860001,66
3/24/2017,41.68,81.230003,175.820007,69.610001,66.650002
3/27/2017,41.490002,81.25,176.100006,69.660004,66.150002
3/28/2017,41.560001,81.839996,177.360001,70.32,66.300003
3/29/2017,41.450001,82.019997,177.630005,70.739998,66.75
3/30/2017,41.759998,83.699997,177.979996,71.589996,65.849998
3/31/2017,41.549999,82.010002,176.860001,72.080002,67.900002
4/3/2017,41.57,82.07,176.649994,71.830002,74.75
4/4/2017,41.689999,82.370003,178.699997,72.010002,75.199997
4/5/2017,41.509998,82.529999,177.080002,71.650002,75.900002
4/6/2017,40.599998,83.010002,177.369995,71.43,76.300003
4/7/2017,40.59,82.760002,178.850006,72.900002,76.25
4/10/2017,40.380001,83.129997,177.559998,73.059998,76.300003
4/11/2017,40.310001,82.839996,178.570007,73.43,76.5
4/12/2017,40.560001,82.970001,176.050003,73.440002,74.599998
4/13/2017,40.279999,81.690002,175.619995,73.150002,75
4/17/2017,40.299999,81.580002,179.020004,73.489998,73.400002
4/18/2017,40.25,81.050003,177.850006,73.889999,70.550003
4/19/2017,40.25,80.489998,178.399994,74.07,69.699997
4/20/2017,40.360001,81.010002,179.300003,74.800003,68.900002
4/21/2017,39.93,80.690002,180.380005,74.940002,70.599998
4/24/2017,40.02,81.110001,182.059998,74.779999,73.599998
4/25/2017,39.939999,81.730003,183.509995,75.050003,82.25
4/26/2017,40.439999,81.400002,181.710007,75.43,82.25
4/27/2017,39.91,81.260002,183.220001,75.440002,81.199997
4/28/2017,39.630001,81.650002,184.830002,75.18,82.449997
5/1/2017,39.099998,82.059998,182.389999,75.230003,81.400002
5/2/2017,38.950001,82.050003,183.440002,75.519997,75.449997
5/3/2017,38.400002,82.699997,183.389999,75.760002,75.400002
5/4/2017,38.009998,81.639999,183.070007,76.339996,76.199997
5/5/2017,38.560001,82.019997,185.009995,76.5,73.300003
5/8/2017,38.57,82.889999,186.020004,76.120003,75.300003
5/9/2017,38.220001,82.309998,186.910004,76.720001,74.150002
5/10/2017,38.450001,81.910004,183.179993,76.699997,77.449997
5/11/2017,38.439999,82.610001,183.940002,76.129997,74.199997
5/12/2017,38.490002,82.550003,183.25,75.709999,78.300003
5/15/2017,38.59,82.800003,182.389999,76.290001,78.400002
5/16/2017,38.189999,82.550003,182.699997,75.110001,76.849998
5/17/2017,37.459999,81.989998,178.779999,75.120003,72.150002
5/18/2017,37.950001,81.75,177.399994,77.540001,73.800003
5/19/2017,38.240002,81.93,180.759995,78.769997,73.949997
5/22/2017,38.25,82.290001,183.669998,78.550003,76.300003
5/23/2017,38.310001,82.580002,183.490005,78.489998,73.449997
5/24/2017,38.150002,82.290001,185.25,78.150002,75.349998
